Customer_ID,Customer_Name,Transaction_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Country,Country_Risk,Occupation,Account_Age_Months,KYC_Status,Branch,Risk_Score,Customer_Risk,Alert_Status,SAR_Flag
C00001,Customer_1,T000001,2025-05-17,14726,Cheque,UK,Low,Salaried,10,Complete,Hyderabad,0,Low,Closed,No
C00002,Customer_2,T000002,2025-03-23,141562,Wire Transfer,Germany,Low,Business Owner,87,Complete,Kolkata,60,Medium,Open,No
C00003,Customer_3,T000003,2025-02-14,88502,Cheque,Singapore,Low,Engineer,18,Complete,Delhi,20,Low,Closed,No
C00004,Customer_4,T000004,2025-02-17,83695,Wire Transfer,Hong Kong,Medium,Business Owner,33,Complete,Pune,50,Medium,Closed,No
C00005,Customer_5,T000005,2025-10-21,238661,Cheque,India,Low,Doctor,68,Complete,Hyderabad,40,Medium,Closed,No
C00006,Customer_6,T000006,2025-09-25,220634,Cash Withdrawal,India,Low,Doctor,53,Pending,Pune,45,Medium,Closed,No
C00007,Customer_7,T000007,2025-01-07,160620,Cash Withdrawal,Germany,Low,Engineer,166,Complete,Kolkata,40,Medium,Closed,No
C00008,Customer_8,T000008,2025-09-06,114871,Online Transfer,Germany,Low,Engineer,96,Complete,Kolkata,40,Medium,Closed,No
C00009,Customer_9,T000009,2025-09-07,9347,Wire Transfer,UAE,Medium,Consultant,44,Pending,Bangalore,35,Low,Closed,No
C00010,Customer_10,T000010,2025-08-22,89320,Wire Transfer,Germany,Low,Engineer,147,Complete,Pune,40,Medium,Closed,No
C00011,Customer_11,T000011,2025-11-18,89108,Wire Transfer,India,Low,Freelancer,4,Complete,Bangalore,40,Medium,Closed,No
C00012,Customer_12,T000012,2025-11-24,61064,Wire Transfer,Cayman Islands,High,Consultant,127,Complete,Pune,65,Medium,Open,No
C00013,Customer_13,T000013,2025-03-20,166148,Cash Deposit,Singapore,Low,Doctor,97,Complete,Pune,40,Medium,Closed,No
C00014,Customer_14,T000014,2025-04-09,121925,Cheque,India,Low,Student,66,Complete,Pune,40,Medium,Closed,No
C00015,Customer_15,T000015,2025-01-01,93287,Cheque,UK,Low,Salaried,159,Incomplete,Delhi,35,Low,Closed,No
C00016,Customer_16,T000016,2025-08-10,134777,Wire Transfer,Panama,High,Student,138,Complete,Hyderabad,85,High,Open,Yes
C00017,Customer_17,T000017,2025-01-15,20263,Cheque,Germany,Low,Freelancer,68,Complete,Hyderabad,0,Low,Closed,No
C00018,Customer_18,T000018,2025-01-13,9658,Cash Withdrawal,Germany,Low,Business Owner,108,Complete,Delhi,0,Low,Closed,No
C00019,Customer_19,T000019,2025-02-10,189145,Cash Deposit,UAE,Medium,Student,133,Complete,Hyderabad,50,Medium,Closed,No
C00020,Customer_20,T000020,2025-07-19,141911,Cash Withdrawal,UK,Low,Freelancer,33,Complete,Kolkata,40,Medium,Closed,No
C00021,Customer_21,T000021,2025-10-29,89532,Cash Deposit,Germany,Low,Engineer,111,Complete,Delhi,20,Low,Closed,No
C00022,Customer_22,T000022,2025-06-28,195343,Wire Transfer,UAE,Medium,Doctor,172,Complete,Hyderabad,70,High,Open,No
C00023,Customer_23,T000023,2025-03-23,80640,Wire Transfer,Cayman Islands,High,Freelancer,133,Pending,Kolkata,70,High,Open,No
C00024,Customer_24,T000024,2025-10-07,146903,Wire Transfer,UAE,Medium,Freelancer,58,Complete,Kolkata,70,High,Open,No
C00025,Customer_25,T000025,2025-05-05,90150,Online Transfer,USA,Low,Trader,83,Complete,Bangalore,20,Low,Closed,No
C00026,Customer_26,T000026,2025-04-11,105377,Wire Transfer,India,Low,Trader,5,Incomplete,Mumbai,75,High,Open,Yes
C00027,Customer_27,T000027,2025-06-12,71320,Online Transfer,Canada,Low,Salaried,88,Complete,Kolkata,20,Low,Closed,No
C00028,Customer_28,T000028,2025-03-11,141950,Online Transfer,UAE,Medium,Doctor,127,Incomplete,Chennai,65,Medium,Open,No
C00029,Customer_29,T000029,2025-09-06,105426,Online Transfer,India,Low,Freelancer,102,Complete,Mumbai,40,Medium,Closed,No
C00030,Customer_30,T000030,2025-11-22,221290,Online Transfer,Germany,Low,Student,154,Incomplete,Kolkata,55,Medium,Closed,No
C00031,Customer_31,T000031,2025-12-20,130623,Wire Transfer,Panama,High,Student,93,Complete,Pune,85,High,Open,Yes
C00032,Customer_32,T000032,2025-06-11,121785,Cheque,Panama,High,Freelancer,56,Incomplete,Pune,80,High,Open,Yes
C00033,Customer_33,T000033,2025-04-03,118714,Cash Deposit,Panama,High,Engineer,16,Pending,Pune,70,High,Open,No
C00034,Customer_34,T000034,2025-10-14,109718,Cash Deposit,Cayman Islands,High,Engineer,95,Complete,Delhi,65,Medium,Open,No
C00035,Customer_35,T000035,2025-09-15,242613,Cash Withdrawal,UK,Low,Freelancer,15,Complete,Hyderabad,40,Medium,Closed,No
C00036,Customer_36,T000036,2025-08-27,14527,Wire Transfer,Canada,Low,Freelancer,63,Complete,Chennai,20,Low,Closed,No
C00037,Customer_37,T000037,2025-10-20,117764,Online Transfer,UK,Low,Freelancer,64,Pending,Chennai,45,Medium,Closed,No
C00038,Customer_38,T000038,2025-06-22,120402,Cash Withdrawal,Germany,Low,Student,47,Complete,Delhi,40,Medium,Closed,No
C00039,Customer_39,T000039,2025-09-02,6219,Cash Deposit,Cayman Islands,High,Student,121,Complete,Kolkata,25,Low,Closed,No
C00040,Customer_40,T000040,2025-11-03,38106,Cash Deposit,Panama,High,Student,119,Pending,Kolkata,30,Low,Closed,No
C00041,Customer_41,T000041,2025-12-28,236820,Cash Withdrawal,Canada,Low,Student,83,Pending,Chennai,45,Medium,Closed,No
C00042,Customer_42,T000042,2025-05-10,102318,Wire Transfer,Singapore,Low,Consultant,44,Complete,Hyderabad,60,Medium,Open,No
C00043,Customer_43,T000043,2025-09-12,94749,Wire Transfer,Cayman Islands,High,Business Owner,51,Complete,Delhi,65,Medium,Open,No
C00044,Customer_44,T000044,2025-04-10,71634,Online Transfer,Germany,Low,Consultant,128,Complete,Pune,20,Low,Closed,No
C00045,Customer_45,T000045,2025-02-17,230706,Online Transfer,Hong Kong,Medium,Salaried,114,Complete,Kolkata,50,Medium,Closed,No
C00046,Customer_46,T000046,2025-09-24,143858,Cash Deposit,Germany,Low,Salaried,163,Complete,Hyderabad,40,Medium,Closed,No
C00047,Customer_47,T000047,2025-08-10,107538,Online Transfer,Hong Kong,Medium,Engineer,133,Complete,Bangalore,50,Medium,Closed,No
C00048,Customer_48,T000048,2025-05-04,41330,Cash Deposit,Hong Kong,Medium,Student,63,Complete,Mumbai,10,Low,Closed,No
C00049,Customer_49,T000049,2025-07-31,20251,Wire Transfer,Cayman Islands,High,Freelancer,141,Incomplete,Delhi,60,Medium,Open,No
C00050,Customer_50,T000050,2025-12-24,11968,Cheque,Singapore,Low,Consultant,48,Pending,Bangalore,5,Low,Closed,No
C00051,Customer_51,T000051,2025-04-19,30548,Cash Withdrawal,UK,Low,Student,93,Complete,Pune,0,Low,Closed,No
C00052,Customer_52,T000052,2025-09-19,41075,Cash Deposit,Hong Kong,Medium,Engineer,101,Complete,Kolkata,10,Low,Closed,No
C00053,Customer_53,T000053,2025-01-22,50534,Cheque,Cayman Islands,High,Consultant,36,Complete,Hyderabad,45,Medium,Closed,No
C00054,Customer_54,T000054,2025-06-30,192685,Cheque,USA,Low,Student,114,Complete,Kolkata,40,Medium,Closed,No
C00055,Customer_55,T000055,2025-01-25,93538,Cheque,UK,Low,Salaried,131,Complete,Pune,20,Low,Closed,No
C00056,Customer_56,T000056,2025-02-12,233047,Cash Withdrawal,USA,Low,Trader,99,Complete,Mumbai,40,Medium,Closed,No
C00057,Customer_57,T000057,2025-01-03,110783,Cash Deposit,UAE,Medium,Business Owner,23,Pending,Bangalore,55,Medium,Closed,No
C00058,Customer_58,T000058,2025-08-09,9464,Cheque,USA,Low,Trader,170,Complete,Hyderabad,0,Low,Closed,No
C00059,Customer_59,T000059,2025-12-23,16630,Cheque,India,Low,Salaried,35,Complete,Chennai,0,Low,Closed,No
C00060,Customer_60,T000060,2025-05-03,11794,Cash Deposit,Panama,High,Trader,111,Complete,Bangalore,25,Low,Closed,No
C00061,Customer_61,T000061,2025-05-30,177052,Wire Transfer,UAE,Medium,Freelancer,172,Complete,Hyderabad,70,High,Open,No
C00062,Customer_62,T000062,2025-10-09,91585,Wire Transfer,Singapore,Low,Salaried,29,Pending,Mumbai,45,Medium,Closed,No
C00063,Customer_63,T000063,2025-11-06,76515,Wire Transfer,Singapore,Low,Consultant,108,Complete,Kolkata,40,Medium,Closed,No
C00064,Customer_64,T000064,2025-01-18,97402,Cheque,Panama,High,Consultant,90,Complete,Bangalore,45,Medium,Closed,No
C00065,Customer_65,T000065,2025-01-02,181940,Online Transfer,India,Low,Consultant,21,Pending,Hyderabad,45,Medium,Closed,No
C00066,Customer_66,T000066,2025-02-23,189643,Cheque,UAE,Medium,Trader,103,Complete,Chennai,50,Medium,Closed,No
